location_1,location_2,business_closed,business_closed_date,business_closed_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,school_closed,school_closed_date,school_closed_url,college_closed,college_closed_date,college_closed_url,value
Alaska,Haines Borough,Yes,2020-03-25,https://khns.org/haines-borough-implements-shelter-in-place-order,Yes,2020-03-25,https://khns.org/haines-borough-implements-shelter-in-place-order,,,,,,,
Alaska,Hoonah–Angoon Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Kenai Peninsula Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Ketchikan Gateway Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Kodiak Island Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Kusilvak Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Lake and Peninsula Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Matanuska-Susitna Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Nome Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,North Slope Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Northwest Arctic Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
